MusteriNo,KayitTarihi,IptalTarihi,CihazTipId,Cinsiyet,Yas
1,2024-03-10,2024-04-30,2,Erkek,52
2,2024-05-04,2024-08-24,3,Erkek,34
3,2024-05-20,2024-05-31,2,Diğer,67
4,2024-04-20,2024-07-03,1,Diğer,66
5,2024-02-16,2024-06-22,1,Kadın,26
6,2024-02-23,2024-08-19,3,Kadın,23
7,2024-02-27,2024-07-09,1,Kadın,70
8,2024-06-10,2024-11-25,3,Diğer,63
9,2024-04-03,2024-05-11,3,Diğer,48
10,2024-06-10,2024-06-21,2,Diğer,51
11,2024-05-09,2024-07-09,3,Kadın,43
12,2024-05-26,2024-06-05,2,Erkek,61
13,2024-02-13,2024-06-01,3,Kadın,65
14,2024-03-18,2024-04-13,1,Kadın,38
15,2024-06-09,2024-11-01,2,Kadın,47
16,2024-06-30,2024-12-26,1,Diğer,52
17,2024-01-16,2024-06-27,3,Erkek,41
18,2024-01-28,2024-02-16,2,Erkek,26
19,2024-06-23,2024-10-03,1,Erkek,57
20,2024-02-29,2024-04-16,1,Kadın,53
21,2024-05-12,2024-10-29,1,Diğer,37
22,2024-04-29,2024-09-27,2,Kadın,18
23,2024-06-25,2024-09-18,3,Erkek,66
24,2024-05-24,2024-08-25,3,Kadın,36
25,2024-03-10,2024-07-16,3,Diğer,44
26,2024-05-29,2024-06-27,2,Kadın,34
27,2024-01-07,2024-05-12,1,Diğer,67
28,2024-06-30,2024-10-08,1,Erkek,31
29,2024-01-27,2024-07-08,2,Diğer,60
30,2024-05-07,2024-08-25,3,Diğer,50
31,2024-01-10,2024-04-06,1,Erkek,39
32,2024-06-11,2024-06-25,1,Diğer,36
33,2024-01-17,2024-02-23,1,Diğer,23
34,2024-01-02,2024-05-06,2,Kadın,68
35,2024-03-22,2024-04-04,3,Erkek,59
36,2024-02-16,2024-02-19,2,Erkek,48
37,2024-02-18,2024-04-22,1,Diğer,24
38,2024-02-01,2024-06-30,3,Kadın,33
39,2024-05-22,2024-09-15,1,Erkek,27
40,2024-06-29,2024-12-05,3,Diğer,28
41,2024-05-07,2024-10-25,3,Kadın,46
42,2024-04-03,2024-09-13,1,Kadın,58
43,2024-06-30,2024-09-14,2,Erkek,47
44,2024-01-27,2024-07-01,2,Diğer,23
45,2024-06-03,2024-11-22,1,Kadın,20
46,2024-01-18,2024-06-06,2,Kadın,23
47,2024-04-11,2024-07-25,2,Erkek,33
48,2024-04-04,2024-07-08,1,Erkek,26
49,2024-01-01,2024-06-14,2,Erkek,47
50,2024-04-12,2024-07-10,3,Diğer,39
51,2024-04-01,2024-05-03,2,Erkek,26
52,2024-04-05,2024-08-30,1,Kadın,27
53,2024-03-06,2024-07-11,3,Diğer,34
54,2024-05-07,2024-07-21,1,Diğer,40
55,2024-06-30,2024-10-06,1,Kadın,36
56,2024-01-04,2024-04-28,3,Erkek,35
57,2024-06-08,2024-11-17,1,Diğer,39
58,2024-03-28,2024-04-08,1,Diğer,53
